Entity,Code,Year,Historical price of memory,Historical price of flash memory,Historical price of disk drives,,,Historical price of solid-state drives
World,OWID_WRL,1956,,,87592750000,4441.088085,20206.13542,
World,OWID_WRL,1957,3.78697E+15,,,0,0,
World,OWID_WRL,1959,6.03281E+14,,67477360000,4071.171156,18523.0813,
World,OWID_WRL,1960,4.58805E+13,,31503645000,3158.30161,14369.69247,
World,OWID_WRL,1964,,,29360284000,3084.987562,14036.12701,
World,OWID_WRL,1965,2.17049E+13,,,0,0,
World,OWID_WRL,1966,,,8350479000,2028.790158,9230.622739,
World,OWID_WRL,1970,4.89294E+12,,1731185200,1200.736862,5463.132271,
World,OWID_WRL,1973,2.3279E+12,,1513812400,1148.217124,5224.177105,
World,OWID_WRL,1974,1.65114E+12,,971034000,990.2499114,4505.45529,
World,OWID_WRL,1975,2.40072E+11,,889688500,961.7879368,4375.958531,
World,OWID_WRL,1976,1.04783E+11,,,0,0,
World,OWID_WRL,1977,98385980000,,,0,0,
World,OWID_WRL,1978,60305523000,,,0,0,
World,OWID_WRL,1979,23907269000,,659732200,870.5409944,3960.801696,
World,OWID_WRL,1980,20351056000,,581010050,834.4389121,3796.54385,
World,OWID_WRL,1981,12749707000,,526588640,807.5272044,3674.10052,
World,OWID_WRL,1982,5310322700,,496166530,791.6669018,3601.939055,
World,OWID_WRL,1983,5145041400,,311560860,677.9239305,3084.429419,
World,OWID_WRL,1984,3315175000,,93426150,453.7564563,2064.508568,
World,OWID_WRL,1985,720613060,,75532904,422.7127955,1923.265611,
World,OWID_WRL,1986,447454300,,43564812,351.867062,1600.93053,
World,OWID_WRL,1987,302942900,,34090570,324.2485836,1475.271524,
World,OWID_WRL,1988,291073660,,21812290,279.4047303,1271.240225,
World,OWID_WRL,1989,236176510,,15623316,249.9910183,1137.413236,
World,OWID_WRL,1990,90127496,,6475771,186.3933845,848.055678,
World,OWID_WRL,1991,75538730,,5305764,174.4145223,793.5540546,
World,OWID_WRL,1992,48417580,,2581349,137.1772972,624.131517,
World,OWID_WRL,1993,47029436,,1285968.9,108.7452147,494.7707618,
World,OWID_WRL,1994,45834332,,756436.25,91.11518843,414.5573789,
World,OWID_WRL,1995,44583576,,363201,71.34808897,324.6207055,
World,OWID_WRL,1996,8662792,,210547.08,59.49079066,270.6721751,
World,OWID_WRL,1997,3476658.2,,78017.58,42.72979655,194.4127292,
World,OWID_WRL,1998,1339636.6,,39444.86,34.04056864,154.8783376,
World,OWID_WRL,1999,1213723.6,,13730.564,23.94580596,108.9490207,
World,OWID_WRL,2000,1045032.9,,6119.577,18.29112711,83.22127017,
World,OWID_WRL,2001,215708.97,,3785.6985,15.58530627,70.91028209,
World,OWID_WRL,2002,192163.72,,1750.5924,12.05207095,54.83471008,
World,OWID_WRL,2003,107166.31,269289.7,1055.0634,10.18027522,46.31838319,
World,OWID_WRL,2004,104372.016,262268.12,834.98285,9.416565215,42.84364287,
World,OWID_WRL,2005,100947.14,100921.24,538.3847,8.135125113,37.01332568,
World,OWID_WRL,2006,93398.016,18793.69,280.8012,6.548366626,29.79386589,
World,OWID_WRL,2007,30443.912,9139.2705,249.62117,6.296421668,28.64756258,
World,OWID_WRL,2008,11736.141,2200.7112,120.196144,4.93511009,22.45384484,
World,OWID_WRL,2009,11778.016,1950.4845,84.4339,4.38704696,19.96025822,
World,OWID_WRL,2010,11587.969,1412.2747,53.410732,3.765964109,17.13444527,
World,OWID_WRL,2011,5897.578,1158.3726,42.180378,3.480995719,15.83789142,
World,OWID_WRL,2012,4126.761,653.2789,41.32522,3.45731055,15.73012825,
World,OWID_WRL,2013,4067.1836,508.39658,40.72861,3.440592166,15.65406267,694.31946
World,OWID_WRL,2014,4002.2583,366.16135,38.26366,3.369733093,15.3316669,409.94592
World,OWID_WRL,2015,3997.5159,158.12556,30.935,3.139183527,14.2827087,272.9443
World,OWID_WRL,2016,2961.1106,156.15555,29.870235,3.102745919,14.11692428,219.02322
World,OWID_WRL,2017,2899.351,152.89864,26.396421,2.977476543,13.54697162,214.45508
World,OWID_WRL,2018,2830.2207,,24.087029,2.887981533,13.13978575,107.34549
World,OWID_WRL,2019,2779.844,,18.981298,2.667525845,12.13675284,80.13651
World,OWID_WRL,2020,2745.97,,16.25,2.53289851,11.52422319,74.99
World,OWID_WRL,2021,2477.3096,,15.520852,2.494433053,11.34921242,71.62515
World,OWID_WRL,2022,1861.9323,,12.63745,2.329269912,10.59775045,39.796032
World,OWID_WRL,2023,1088.4369,,10.617405,2.197890885,10,25.906467
